,PLAYERS,NATIONALITY,TYPE,PRICE,TEAM
0,Avanish Rao Aravelly,Indian,Wicket-Keeper,2000000,CSK
1,Mustafizur Rahman,Overseas,Bowler,20000000,CSK
2,Daryl Mitchell,Overseas,All-Rounder,140000000,CSK
3,Sameer Rizvi,Indian,Batter,84000000,CSK
4,Rachin Ravindra,Overseas,All-Rounder,18000000,CSK
5,Shardul Thakur,Indian,All-Rounder,40000000,CSK
6,Ricky Bhui,Indian,Wicket-Keeper,2000000,DC
7,Sumit Kumar,Indian,All-Rounder,10000000,DC
8,Swastik Chhikara,Indian,Batter,2000000,DC
9,Jhye Richardson,Overseas,Bowler,50000000,DC
10,Shai Hope,Overseas,Wicket-Keeper,7500000,DC
11,Rasikh Dar,Indian,Bowler,2000000,DC
12,Kumar Kushagra,Indian,Wicket-Keeper,72000000,DC
13,Tristan Stubbs,Overseas,Wicket-Keeper,5000000,DC
14,Harry Brook,Overseas,Batter,40000000,DC
15,Kartik Tyagi,Indian,Bowler,6000000,GT
16,Spencer Johnson,Overseas,Bowler,100000000,GT
17,Manav Suthar,Indian,Bowler,2000000,GT
18,Robin Minz,Indian,Wicket-Keeper,36000000,GT
19,Sushant Mishra,Indian,Bowler,22000000,GT
20,Azmatullah Omarzai,Overseas,All-Rounder,5000000,GT
21,Shahrukh Khan,Indian,All-Rounder,74000000,GT
22,Umesh Yadav,Indian,Bowler,58000000,GT
23,Mujeeb Rahman,Overseas,Bowler,20000000,KKR
24,Manish Pandey,Indian,Batter,5000000,KKR
25,Gus Atkinson,Overseas,Bowler,10000000,KKR
26,Angkrish Raghuvanshi,Indian,Batter,2000000,KKR
27,Mitchell Starc,Overseas,Bowler,247500000,KKR
28,Sherfane Rutherford,Overseas,Batter,15000000,KKR
29,Ramandeep Singh,Indian,All-Rounder,2000000,KKR
30,K.S. Bharat,Indian,Wicket-Keeper,5000000,KKR
31,Chetan Sakariya,Indian,Bowler,5000000,KKR
32,Sakib Hussain,Indian,Bowler,2000000,KKR
33,Ashton Turner,Overseas,Batter,10000000,LSG
34,David Willey,Overseas,All-Rounder,20000000,LSG
35,M. Siddharth,Indian,Bowler,24000000,LSG
36,Shivam Mavi,Indian,Bowler,64000000,LSG
37,Arshin Kulkarni,Indian,All-Rounder,2000000,LSG
38,Mohd. Arshad Khan,Indian,All-Rounder,2000000,LSG
39,Dilshan Madushanka,Overseas,Bowler,46000000,MI
40,Shreyas Gopal,Indian,Bowler,2000000,MI
